Datetime,Confirmed,Recovered,Deceased
2020-01-29 00:00:00,1, 0, 0
2020-01-30 00:00:00,0, 0, 0
2020-01-31 00:00:00,0, 0, 0
2020-02-01 00:00:00,1, 0, 0
2020-02-02 00:00:00,1, 0, 0
2020-02-03 00:00:00,0, 0, 0
2020-02-04 00:00:00,0, 0, 0
2020-02-05 00:00:00,0, 0, 0
2020-02-06 00:00:00,0, 0, 0
2020-02-07 00:00:00,0, 0, 0
2020-02-08 00:00:00,0, 0, 0
2020-02-09 00:00:00,0, 0, 0
2020-02-10 00:00:00,0, 0, 0
2020-02-11 00:00:00,0, 0, 0
2020-02-12 00:00:00,0, 0, 0
2020-02-13 00:00:00,0, 0, 0
2020-02-14 00:00:00,0, 0, 0
2020-02-15 00:00:00,0, 3, 0
2020-02-16 00:00:00,0, 0, 0
2020-02-17 00:00:00,0, 0, 0
2020-02-18 00:00:00,0, 0, 0
2020-02-19 00:00:00,0, 0, 0
2020-02-20 00:00:00,0, 0, 0
2020-02-21 00:00:00,0, 0, 0
2020-02-22 00:00:00,0, 0, 0
2020-02-23 00:00:00,0, 0, 0
2020-02-24 00:00:00,0, 0, 0
2020-02-25 00:00:00,0, 0, 0
2020-02-26 00:00:00,0, 0, 0
2020-02-27 00:00:00,0, 0, 0
2020-02-28 00:00:00,0, 0, 0
2020-02-29 00:00:00,0, 0, 0
2020-03-01 00:00:00,2, 0, 0
2020-03-02 00:00:00,1, 0, 0
2020-03-03 00:00:00,22, 0, 0
2020-03-04 00:00:00,2, 0, 0
2020-03-05 00:00:00,1, 0, 0
2020-03-06 00:00:00,3, 0, 0
2020-03-07 00:00:00,5, 0, 0
2020-03-08 00:00:00,5, 0, 0
2020-03-09 00:00:00,6, 1, 0
2020-03-10 00:00:00,10, 0, 1
2020-03-11 00:00:00,13, 0, 0
2020-03-12 00:00:00,8, 0, 1
2020-03-13 00:00:00,3, 0, 0
2020-03-14 00:00:00,26, 9, 0
2020-03-15 00:00:00,4, 0, 0
2020-03-16 00:00:00,23, 1, 1
2020-03-17 00:00:00,5, 0, 0
2020-03-18 00:00:00,7, 1, 0
2020-03-19 00:00:00,95, 5, 2
2020-03-20 00:00:00,39, 3, -1
2020-03-21 00:00:00,77, 4, 3
2020-03-22 00:00:00,55, 0, 3
2020-03-23 00:00:00,96, 13, 0
2020-03-24 00:00:00,51, 3, 2
2020-03-25 00:00:00,118, 2, 8
2020-03-26 00:00:00,207, 28, 0
2020-03-27 00:00:00,100, 11, 4
2020-03-28 00:00:00,37, 11, 3
2020-03-29 00:00:00,47, 5, 2
2020-03-30 00:00:00,180, 2, 3
2020-03-31 00:00:00,339, 46, 13
2020-04-01 00:00:00,442, 0, 13
2020-04-02 00:00:00,535, 44, 14
2020-04-03 00:00:00,515, 37, 14
2020-04-04 00:00:00,506, 0, 13
